2024-07-04 04:00:00
8,3002,79.0
16,3606023,79.5
24,7206045,79.5
32,10806067,78.4
40,14412091,77.9
48,18015114,79.0
56,21615128,79.0
64,25356216,83.1
72,28965245,84.7
